Name,Lat,Lon,Site ID,Type,Priority
CSG-QTDH17,16.81484,107.10338,QTDH17,CSG,1
CSG-QTDH19,16.813592,107.088038,QTDH19,CSG,1
CSG-QTDH21,16.811034,107.111175,QTDH21,CSG,1
CSG-QTDH22,16.81525,107.09581,QTDH22,CSG,1
CSG-QTDH27,16.80727,107.09889,QTDH27,CSG,1
CSG-QTDH29,16.82334,107.10548,QTDH29,CSG,1
CSG-QTDH30,16.80997,107.10622,QTDH30,CSG,1
CSG-QTDH31,16.82874,107.09627,QTDH31,CSG,1
CSG-QTDH32,16.80418,107.11417,QTDH32,CSG,1
CSG-QTDH34,16.78303,107.11045,QTDH34,CSG,1
CSG-QTDH35,16.80033,107.10853,QTDH35,CSG,1
CSG-QTDH36,16.8189,107.09815,QTDH36,CSG,1
CSG-QTDH50,16.791779,107.090522,QTDH50,CSG,1
CSG-QTGL01,16.942,107.07308,QTGL01,CSG,1
CSG-QTGL03,16.91624,107.17423,QTGL03,CSG,1
CSG-QTGL04,16.89502,106.99186,QTGL04,CSG,1
CSG-QTGL05,16.88782,107.08068,QTGL05,CSG,1
CSG-QTGL07,16.87479,107.13379,QTGL07,CSG,1
CSG-QTGL08,16.92266,107.00392,QTGL08,CSG,1
CSG-QTGL10,16.92644,107.05021,QTGL10,CSG,1
CSG-QTGL12,16.97785,107.09966,QTGL12,CSG,1
CSG-QTGL13,16.90969,107.12424,QTGL13,CSG,1
CSG-QTGL15,16.96674,107.13804,QTGL15,CSG,1
CSG-QTGL25,16.892,107.15929,QTGL25,CSG,1
CSG-QTGL44,16.9664,107.06918,QTGL44,CSG,1
CSG-QTHL03,16.70894,107.26223,QTHL03,CSG,1
CSG-QTHL05,16.73364,107.20556,QTHL05,CSG,1
CSG-QTHL06,16.66435,107.27957,QTHL06,CSG,1
CSG-QTHL10,16.72602,107.33658,QTHL10,CSG,1
CSG-QTHL12,16.7409,107.19352,QTHL12,CSG,1
CSG-QTHL14,16.70495,107.22144,QTHL14,CSG,1
CSG-QTHL17,16.7426,107.2784,QTHL17,CSG,1
CSG-QTHL19,16.75345,107.2156,QTHL19,CSG,1
CSG-QTHL20,16.798763,107.30465,QTHL20,CSG,1
CSG-QTHL22,16.77698,107.32986,QTHL22,CSG,1
CSG-QTHL24,16.72133,107.19433,QTHL24,CSG,1
CSG-QTHL25,16.68812,107.26891,QTHL25,CSG,1
CSG-QTHL28,16.69882,107.26566,QTHL28,CSG,1
CSG-QTQT03,16.74744,107.17837,QTQT03,CSG,1
CSG-QTQT05,16.74284,107.1853,QTQT05,CSG,1
CSG-QTQT06,16.756179,107.195775,QTQT06,CSG,1
CSG-QTQT09,16.73564,107.18719,QTQT09,CSG,1
CSG-QTQT09_02,16.73564,107.18719,QTQT09,CSG,1
CSG-QTTP02,16.81,107.18161,QTTP02,CSG,1
CSG-QTTP05,16.77026,107.25003,QTTP05,CSG,1
CSG-QTTP08,16.88189,107.2065,QTTP08,CSG,1
CSG-QTTP10,16.7875,107.18053,QTTP10,CSG,1
CSG-QTTP15,16.84789,107.19601,QTTP15,CSG,1
CSG-QTTP17,16.82937,107.16792,QTTP17,CSG,1
CSG-QTTP19,16.82803,107.21489,QTTP19,CSG,1
CSG-QTTP21,16.772,107.18918,QTTP21,CSG,1
CSG-QTTP24,16.86322,107.22362,QTTP24,CSG,1
CSG-QTTP27,16.82822,107.26846,QTTP27,CSG,1
CSG-QTTP47,16.81954,107.17156,QTTP47,CSG,1
CSG-QTTP48,16.79406,107.2448,QTTP48,CSG,1
CSG-QTVL01,17.07791,106.99558,QTVL01,CSG,1
CSG-QTVL48,17.04366,107.02607,QTVL48,CSG,1
CSG-VNPOST-Luong-An,16.81579,107.11082,QTIDHA1,CSG,1
CSG-HUHA01,16.5252,107.47588,HUHA01,CSG,1
CSG-HUHA01_2,16.5252,107.47588,HUHA01,CSG,1
CSG-HUHA04,16.50138,107.47243,HUHA04,CSG,1
CSG-HUHA08,16.50409,107.51433,HUHA08,CSG,1
CSG-HUHA09,16.48623,107.49847,HUHA09,CSG,1
CSG-HUHA21,16.49953,107.44453,HUHA21,CSG,1
CSG-HUHA35,16.48894,107.52013,HUHA35,CSG,1
CSG-HUHT04,16.41865,107.6959,HUHT04,CSG,1
CSG-HUHT12,16.44264,107.62355,HUHT12,CSG,1
CSG-HUHT15,16.42381,107.6514,HUHT15,CSG,1
CSG-HUHT17,16.40466,107.71198,HUHT17,CSG,1
CSG-HUHT19,16.44568,107.64968,HUHT19,CSG,1
CSG-HUHT24,16.38683,107.686806,HUHT24,CSG,1
CSG-HUHT27,16.41126,107.64041,HUHT27,CSG,1
CSG-HUHT32,16.43964,107.614,HUHT32,CSG,1
CSG-HUHT35,16.37407,107.7145,HUHT35,CSG,1
CSG-HUHTMA01,16.41168,107.67333,HUHT01,CSG,1
CSG-HUHTMA01_2,16.41168,107.67333,HUHT01,CSG,1
CSG-HUHUMA01,16.481683,107.555912,HUHUMA01,CSG,1
CSG-HUHUMA01_2,16.481683,107.555912,HUHUMA01,CSG,1
CSG-HUPD06,16.54869,107.41488,HUPD06,CSG,1
CSG-HUPD19,16.59658,107.35056,HUPD19,CSG,1
CSG-HUPD22,16.55369,107.44243,HUPD22,CSG,1
CSG-HUPD49,16.65211,107.39966,HUPD49,CSG,1
CSG-HUPD53,16.66216,107.34657,HUPD53,CSG,1
CSG-HUPL02,16.31409,108.01515,HUPL02,CSG,1
CSG-HUPL03,16.2723,107.96169,HUPL03,CSG,1
CSG-HUPL06,16.35535,107.88385,HUPL06,CSG,1
CSG-HUPL10,16.31785,107.7779,HUPL10,CSG,1
CSG-HUPL14,16.31283,107.98218,HUPL14,CSG,1
CSG-HUPL18,16.29652,107.81027,HUPL18,CSG,1
CSG-HUPL23,16.38797,107.85808,HUPL23,CSG,1
CSG-HUPL25,16.29091,108.01514,HUPL25,CSG,1
CSG-HUPL35,16.36172,107.7313,HUPL35,CSG,1
CSG-HUPL40,16.3217,107.7401,HUPL40,CSG,1
CSG-HUPL41,16.36098,107.86609,HUPL41,CSG,1
CSG-HUPLMA01,16.3395144,107.7437559,HUPLMA01,CSG,1
CSG-HUPLMA02,16.269802,107.8984,HUPLMA02,CSG,1
CSG-HUPV05,16.54451,107.67491,HUPV05,CSG,1
CSG-HUPV08,16.49516,107.62916,HUPV08,CSG,1
CSG-HUPV09,16.48118,107.68446,HUPV09,CSG,1
CSG-HUPV10,16.44547,107.74654,HUPV10,CSG,1
CSG-HUPV14,16.40872,107.83615,HUPV14,CSG,1
CSG-HUPV27,16.45707,107.68002,HUPV27,CSG,1
CSG-HUPV33,16.3915,107.77163,HUPV33,CSG,1
CSG-HUPV48,16.44195,107.77947,HUPV48,CSG,1
CSG-HUPX03,16.48571,107.5479,HUPX03,CSG,1
CSG-HUPX05,16.48497,107.56901,HUPX05,CSG,1
CSG-HUPX06,16.48023,107.55928,HUPX06,CSG,1
CSG-HUPX07,16.48302,107.5866,HUPX07,CSG,1
CSG-HUPX10,16.48647,107.57874,HUPX10,CSG,1
CSG-HUPX14,16.47323,107.58332,HUPX14,CSG,1
CSG-HUPX17,16.47151,107.55587,HUPX17,CSG,1
CSG-HUPX18,16.491722,107.53477,HUPX18,CSG,1
CSG-HUPX19,16.488139,107.559139,HUPX19,CSG,1
CSG-HUPX21,16.47517,107.5619,HUPX21,CSG,1
CSG-HUPX22,16.47377,107.58811,HUPX22,CSG,1
CSG-HUPX23,16.491191,107.588892,HUPX23,CSG,1
