BS_Name,BS_Lat,BS_Lon,Nearest_Router_Name,Nearest_Router_Lat,Nearest_Router_Lon,Router_Type,Router_Priority,Router_Site_ID,Route_Distance_KM,Status
2628-GL031,14.007585,108.110355,LSW-GLDD10,13.997441,108.109353,LSW,2,GLDD10,1.9164,Success
2628-GL032,13.106662,108.704005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL033,13.361316,108.494053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL034,13.984779,108.057596,CSG-GLPK09,13.97904,108.05569,CSG,1,GLPK09,1.0547,Success
2628-GL035,13.943397,108.012807,LSW-GLPK16,13.94904,108.01243,LSW,2,GLPK16,0.8194,Success
2628-GL036,13.988729,108.021141,LSW-GLPK06,13.98962,108.02524,LSW,2,GLPK06,0.5152,Success
2628-GL037,13.984172,107.994406,LSW-GLPK25,13.9812,107.99438,LSW,2,GLPK25,0.3785,Success
2628-GL038,13.989902,107.992518,CSG-GLPK20,13.986849,107.990474,CSG,1,GLPK20,0.5162,Success
2628-GL039,13.989596,108.007286,LSW-GLPK10,13.98639,108.00697,LSW,2,GLPK10,0.6409,Success
2628-GL040,13.986064,108.003962,LSW-GLPK66,13.98315,108.00127,LSW,2,GLPK66,0.4707,Success
2628-GL041,13.999339,108.006812,LSW-GLPK12,13.99,108.004,LSW,2,GLPK12,1.8836,Success
2628-GL042,13.974599,107.995458,LSW-GLPK59,13.973103,107.997039,LSW,2,GLPK59,0.36210000000000003,Success
2628-GL043,13.970352,107.995547,LSW-GLPK59,13.973103,107.997039,LSW,2,GLPK59,0.4755,Success
2628-GL044,13.97154,108.016191,LSW-GLPK24,13.97412,108.01519,LSW,2,GLPK24,0.6366,Success
2628-GL045,13.976347,108.012349,LSW-GLPK58,13.98185,108.00926,LSW,2,GLPK58,0.7143999999999999,Success
2628-GL046,13.956368,108.007023,CSG-GLPK18,13.96026,108.00501,CSG,1,GLPK18,0.6666,Success
2628-GL047,13.979039,108.008107,LSW-GLPK67,13.980823,108.005571,LSW,2,GLPK67,0.4425,Success
2628-GL048,13.881423,108.265377,LSW-GLMY03,13.8686,108.26592,LSW,2,GLMY03,1.5948,Success
2628-GL049,13.995047,107.995383,LSW-GLPK03,13.99724,107.9968,LSW,2,GLPK03,1.16,Success
2628-GL050,14.206156,107.947648,CSG-GLCP04,14.19663,107.96053,CSG,1,GLCP04,3.4221,Success
2628-GL051,14.008961,107.993039,LSW-GLPK03,13.99724,107.9968,LSW,2,GLPK03,1.3629,Success
2628-GL052,13.979293,108.676357,CSG-GLAK17,13.97183,108.67151,CSG,1,GLAK17,1.0640999999999998,Success
2628-GL053,14.061155,108.648715,LSW-GLKB04,14.05654,108.63654,LSW,2,GLKB04,1.4834,Success
2628-GL054,14.0463,108.688441,LSW-GLAK07,14.05663,108.67742,LSW,2,GLAK07,1.79,Success
2628-GL055,13.824254,107.999485,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL056,13.803796,107.869217,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL057,13.72742,107.945262,CSG-GLCR11,13.736433,107.956106,CSG,1,GLCR11,1.6954,Success
2628-GL058,13.746156,108.01923,CSG-GLCS03,13.7604,108.02576,CSG,1,GLCS03,5.8507,Success
2628-GL059,13.530399,108.320134,LSW-GLPT05,13.5272,108.32433,LSW,2,GLPT05,0.7429,Success
2628-GL060,13.977989,108.123256,LSW-GLDD36,13.96768,108.12799,LSW,2,GLDD36,2.0801,Success
2628-GL061,13.936296,107.991118,LSW-GLPK40,13.94714,107.99613,LSW,2,GLPK40,1.4992,Success
2628-GL062,13.42306,107.862815,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL063,13.430752,107.927907,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL064,13.697916,108.079322,LSW-GLCS02,13.69351,108.08129,LSW,2,GLCS02,0.6431,Success
2628-GL065,13.714788,108.068426,LSW-GLCS48,13.710054,108.067339,LSW,2,GLCS48,0.62,Success
2628-GL066,13.753335,107.88398,LSW-GLCR01,13.75378,107.89054,LSW,2,GLCR01,0.9161,Success
2628-GL067,13.746902,107.889915,LSW-GLCR01,13.75378,107.89054,LSW,2,GLCR01,0.85,Success
2628-GL068,13.961804,107.836789,LSW-GLIG30,13.97087,107.834,LSW,2,GLIG30,1.1288,Success
2628-GL069,13.858241,108.243785,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL070,13.850985,108.28414,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL071,13.793681,108.207903,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL072,13.820273,107.870768,LSW-GLCR13,13.81465,107.88519,LSW,2,GLCR13,1.8954000000000002,Success
2628-GL073,13.834161,107.83052,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL074,14.007408,108.004836,LSW-GLPK03,13.99724,107.9968,LSW,2,GLPK03,2.3688000000000002,Success
2628-GL075,13.982567,108.028512,LSW-GLPK53,13.98129,108.02547,LSW,2,GLPK53,0.9,Success
2628-GL076,13.977619,108.031993,LSW-GLPK55,13.97916,108.0382,LSW,2,GLPK55,0.7664,Success
2628-GL077,14.037038,108.025032,LSW-GLPK57,14.02507,108.02249,LSW,2,GLPK57,1.7878,Success
2628-GL078,13.944977,108.740276,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL079,14.02421,108.297675,LSW-GLMY06,14.01249,108.30935,LSW,2,GLMY06,2.9547,Success
2628-GL080,13.973985,107.971437,CSG-GLIG06_new,13.972574,107.956551,CSG,1,GLIG06,1.9957,Success
2628-GL081,13.94087,108.005224,CSG-GLPK72,13.936668,108.008327,CSG,1,GLPK72,0.8106,Success
2628-GL082,13.929499,108.017482,CSG-GLPK72,13.936668,108.008327,CSG,1,GLPK72,2.3722,Success
2628-GL083,13.969505,108.636294,CSG-GLDP09,13.963024,108.633344,CSG,1,GLDP09,1.1787,Success
2628-GL084,13.671579,108.032437,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL085,13.6558,108.00194,LSW-GLCR41,13.67065,108.00134,LSW,2,GLCR41,1.6919000000000002,Success
2628-GL086,13.642291,108.107005,LSW-GLCU02,13.63125,108.11103,LSW,2,GLCU02,1.4473,Success
2628-GL087,13.54874349,108.1097609,CSG-GLCU01,13.547519,108.099326,CSG,1,GLCU01,2.0145,Success
2628-GL088,14.107564,107.970229,LSW-GLCP01,14.09996,107.97168,LSW,2,GLCP01,1.0756,Success
2628-GL089,14.152894,107.953343,CSG-GLCP05,14.14036,107.95247,CSG,1,GLCP05,1.4309,Success
2628-GL090,13.942586,108.133513,CSG-GLDD08,13.952179,108.13621,CSG,1,GLDD08,2.2271,Success
2628-GL091,14.07706,108.3284,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL092,14.08463,108.3175,LSW-GLMY20,14.08116,108.30218,LSW,2,GLMY20,5.0205,Success
2628-GL093,13.993353,107.946268,LSW-GLIG48,13.982917,107.9513,LSW,2,GLIG48,1.5959,Success
2628-GL094,14.024454,107.95403,CSG-GLPK51,14.0286,107.96494,CSG,1,GLPK51,1.7558,Success
2628-GL095,13.923833,108.264093,LSW-GLMY07,13.93973,108.26238,LSW,2,GLMY07,2.9215999999999998,Success
2628-GL096,13.863954,108.136547,LSW-GLDD40,13.85356,108.13364,LSW,2,GLDD40,1.6338,Success
2628-GL097,14.103503,108.141768,LSW-GLDD32,14.10521,108.15227,LSW,2,GLDD32,1.7719,Success
2628-GL098,14.163721,108.158448,CSG-GLDD07,14.1685,108.1408,CSG,1,GLDD07,2.5359000000000003,Success
2628-GL099,13.955379,108.53012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL100,13.958149,107.539592,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL101,13.8875,107.646661,LSW-GLIG16,13.88598,107.63677,LSW,2,GLIG16,1.1368,Success
2628-GL102,13.738112,107.58932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL103,13.715234,107.607717,LSW-GLDC12,13.72351,107.60079,LSW,2,GLDC12,1.9427,Success
2628-GL104,14.120049,108.052469,LSW-GLCP09,14.10541,108.05084,LSW,2,GLCP09,1.8333,Success
2628-GL105,14.137938,108.057396,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL106,14.23792,107.926965,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL107,14.109892,107.861724,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL108,14.087917,107.88793,LSW-GLIG08,14.08313,107.8983,LSW,2,GLIG08,1.6193,Success
2628-GL109,13.933702,108.060159,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL110,13.947964,108.04508,LSW-GLPK35,13.95197,108.054507,LSW,2,GLPK35,1.2923,Success
2628-GL111,13.660588,108.06377,LSW-GLCS14,13.66391,108.07449,LSW,2,GLCS14,1.3799000000000001,Success
2628-GL112,13.597973,108.081336,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL113,13.64912,107.933561,LSW-GLCR16,13.66222,107.93383,LSW,2,GLCR16,1.586,Success
2628-GL114,13.969798,108.070153,CSG-GLPK64,13.98039,108.07653,CSG,1,GLPK64,2.0287,Success
2628-GL115,13.820763,108.135718,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL116,13.707896,108.082287,CSG-GLCS25,13.70529,108.09058,CSG,1,GLCS25,2.0225,Success
2628-GL117,13.610133,108.069195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL118,13.39332,108.427613,LSW-GLAP11,13.395447,108.438392,LSW,2,GLAP11,1.4135,Success
2628-GL119,13.429412,108.439831,LSW-GLAP03,13.424133,108.42475,LSW,2,GLAP03,2.4356,Success
2628-GL120,13.448272,108.40601,LSW-GLPT15,13.441763,108.413407,LSW,2,GLPT15,1.1827999999999999,Success
2628-GL121,13.521387,108.336852,LSW-GLPT05,13.5272,108.32433,LSW,2,GLPT05,1.5976,Success
2628-GL122,13.573821,108.44586,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL123,13.780667,108.547388,LSW-GLKC11,13.79122,108.54211,LSW,2,GLKC11,1.3563,Success
2628-GL124,13.959494,108.640264,CSG-GLDP09,13.963024,108.633344,CSG,1,GLDP09,0.8609,Success
2628-GL125,14.031736,108.726629,LSW-GLAK05,14.023361,108.72197,LSW,2,GLAK05,1.4844000000000002,Success
2628-GL126,13.966562,108.649506,LSW-GLAK13,13.95674,108.64835,LSW,2,GLAK13,1.2207000000000001,Success
2628-GL127,13.704538,108.023183,CSG-GLCS04,13.69198,108.02816,CSG,1,GLCS04,1.8737000000000001,Success
2628-GL128,13.743535,107.843111,CSG-GLCR08,13.74548,107.85749,CSG,1,GLCR08,1.6517,Success
2628-GL129,13.755844,107.632077,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL130,14.081339,108.098051,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-GL131,13.89116,108.080993,LSW-GLDD11,13.88767,108.09614,LSW,2,GLDD11,1.8905999999999998,Success
2628-GL132,13.863464,108.133211,LSW-GLDD40,13.85356,108.13364,LSW,2,GLDD40,1.2703,Success
2628-GL133,13.8248233,107.6736674,LSW-GLDC05,13.83748,107.67986,LSW,2,GLDC05,2.169,Success
2628-HU001,16.40789,107.59035,CSG-HUTH13,16.41803,107.59219,CSG,1,HUTH13,1.8284,Success
2628-HU002,16.440259,107.57194,CSG-HUTH29,16.444861,107.566333,CSG,1,HUTH29,0.9545,Success
2628-HU003,16.463245,107.607059,LSW_HUTH34,16.46576,107.6046,LSW,2,HUTH34,0.5799,Success
2628-HU004,16.14348,107.82791,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-HU005,16.14091,107.85001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-HU006,16.4617114,107.5915368,CSG-HUTH11,16.460556,107.588222,CSG,1,HUTH11,0.392,Success
2628-HU007,16.44617,107.58838,LSW_HUTH57,16.44363,107.58617,LSW,2,HUTH57,0.5104,Success
2628-HU008,16.45326,107.56393,CSG-HUTH32,16.45543,107.57102,CSG,1,HUTH32,0.8018,Success
2628-HU009,16.44260587,107.6046816,LSW_HUTH45,16.446431,107.602383,LSW,2,HUTH45,1.2542,Success
2628-HU010,16.45981494,107.5850259,CSG-HUTH27,16.45711,107.585419,CSG,1,HUTH27,0.403,Success
2628-HU011,16.474058,107.572815,LSW_HUPX51,16.471351,107.57297,LSW,2,HUPX51,0.4208,Success
2628-HU012,16.200924,108.149994,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-HU013,16.46977,107.57269,LSW_HUPX15,16.469343,107.570999,LSW,2,HUPX15,0.2271,Success
2628-HU014,16.47851,107.5993,CSG-HUTH30,16.476861,107.597694,CSG,1,HUTH30,0.3365,Success
2628-HU015,16.45071,107.594149,CSG-HUTH18,16.44669,107.59563,CSG,1,HUTH18,0.5752999999999999,Success
2628-HU016,16.46611,107.60891,LSW_HUTH34,16.46576,107.6046,LSW,2,HUTH34,0.8792000000000001,Success
2628-HU017,16.4676,107.593,LSW_HUTH25,16.465892,107.591557,LSW,2,HUTH25,0.35910000000000003,Success
2628-HU018,16.45742,107.575737,CSG-HUTH32,16.45543,107.57102,CSG,1,HUTH32,0.6907000000000001,Success
2628-HU019,16.283088,108.00301,CSG-HUPL25,16.29091,108.01514,CSG,1,HUPL25,1.7504000000000002,Success
2628-HU020,16.4298008,107.58569,CSG-HUTH2B,16.42066,107.58053,CSG,1,HUTH2B,1.5332000000000001,Success
2628-HU021,16.495347,107.585645,LSW_HUPX11,16.49257,107.58269,LSW,2,HUPX11,0.5307000000000001,Success
2628-HU022,16.457126,107.627383,LSW_HUTH43,16.45756,107.6125,LSW,2,HUTH43,1.9387999999999999,Success
2628-HU023,16.40240259,107.6610771,CSG-HUHTMA01,16.41168,107.67333,CSG,1,HUHT01,3.3202,Success
2628-HU024,16.478694,107.61242,CSG-HUTH2D,16.476389,107.60625,CSG,1,HUTH2D,1.0404,Success
2628-HU025,16.353647,107.677332,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-HU026,16.710437,107.422924,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-HU027,16.582,107.391402,LSW-HUPD14,16.57006,107.37743,LSW,2,HUPD14,3.3642,Success
2628-HU028,16.5618,107.591,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-HU029,16.54311954,107.3710605,LSW_HUPD12,16.53004,107.38172,LSW,2,HUPD12,3.3636,Success
2628-HU030,16.25264,107.944217,LSW_HUPL37,16.24725,107.93662,LSW,2,HUPL37,1.7488,Success
2628-HU031,16.4364,107.6234,CSG-HUHT12,16.44264,107.62355,CSG,1,HUHT12,0.9221,Success
2628-HU032,16.460681,107.549286,CSG-HUPX25,16.46085,107.55659,CSG,1,HUPX25,1.3508,Success
2628-HU033,16.549724,107.439047,CSG-HUPD22,16.55369,107.44243,CSG,1,HUPD22,1.5765,Success
2628-HU034,16.46728,107.558256,LSW_HUPX01,16.46536,107.56277,LSW,2,HUPX01,0.81,Success
2628-HU035,16.480586,107.563173,LSW_HUPX33,16.47696,107.56467,LSW,2,HUPX33,0.49339999999999995,Success
2628-HU036,16.448692,107.589753,CSG-HUTH20,16.45221,107.58958,CSG,1,HUTH20,0.498,Success
2628-HU037,16.493807,107.600129,CSG-HUTH2N,16.49246,107.60472,CSG,1,HUTH2N,0.6455,Success
2628-HU038,16.469749,107.613765,LSW_HUTH04,16.46953,107.60324,LSW,2,HUTH04,1.3714000000000002,Success
2628-HU039,16.4907,107.62408,CSG-HUPV08,16.49516,107.62916,CSG,1,HUPV08,1.4442000000000002,Success
2628-HU040,16.51492,107.715002,LSW_HUPV25,16.50552,107.72896,LSW,2,HUPV25,1.9197,Success
2628-HU041,16.41663957,107.8234702,LSW_HUPV37,16.42303,107.82628,LSW,2,HUPV37,1.0387,Success
2628-HU042,16.61070076,107.5568316,LSW-HUQD15,16.61121,107.54668,LSW,2,HUQD15,2.0201,Success
