Name,Lat,Lon
Phú Yên#TTCMKV#Tuy Hòa,13.09474,109.293
Phú Yên#TTCMKV#Sơn Hòa,13.04975,108.9789
Phú Yên#TTCMKV#CAX Sơn Định (Sơn Hòa),13.0499,108.979
Phú Yên#TTCMKV#Đồng Xuân,13.3773,109.1081
Phú Yên#TTCMKV#Sông Cầu,13.4532,109.2231
Khánh Hòa#TTCMKV#CAT Khánh Hòa,12.23211,109.1958
Khánh Hòa#TTCMKV#Diên Khánh,12.2563,109.0941
Khánh Hòa#TTCMKV#Khánh Vĩnh,12.28142,108.9056
Khánh Hòa#TTCMKV#Ninh Hòa,12.50973,109.1375
Khánh Hòa#TTCMKV#Vạn Ninh,12.69077,109.2209
Khánh Hòa#TTCMKV#Cam Lâm,12.07444,109.1681
Khánh Hòa#TTCMKV#Cam Ranh,11.92552,109.1637
Ninh Thuận#TTCMKV#TT Phan Rang,11.58211,108.9728
Ninh Thuận#TTCMKV#TT Phan Rang 2,11.58211,108.9728
Ninh Thuận#TTCMKV#Ninh Phước,11.52846,108.9327
Ninh Thuận#TTCMKV#Thuận Bắc,11.71162,109.062
Ninh Thuận#TTCMKV#Ninh Sơn,11.77645,108.7808
Ninh Thuận#TTCMKV#Bác Ái,11.8405,108.904
