Name,Lat,Lon,SiteID
CSG-QTCL06,16.749630,106.926990,QTCL06
CSG-QTCL08,16.826540,107.003010,QTCL08
CSG-QTCL09,16.793320,106.968280,QTCL09
CSG-QTCL12,16.842580,107.081900,QTCL12
CSG-QTCL13,16.804210,107.043570,QTCL13
CSG-QTCL18,16.825240,106.980370,QTCL18
CSG-QTCL34,16.809700,107.001790,QTCL34
CSG-QTDH04,16.797610,107.083631,QTDH04
CSG-QTDH05,16.811540,107.096870,QTDH05
CSG-QTDH07,16.817106,107.087282,QTDH07
CSG-QTDH08,16.806220,107.104140,QTDH08
CSG-QTDH09,16.819880,107.090958,QTDH09
CSG-QTDH10,16.816590,107.077340,QTDH10
CSG-QTDH12,16.820480,107.104700,QTDH12
CSG-QTDH14,16.799070,107.129450,QTDH14
CSG-QTDH17,16.814840,107.103380,QTDH17
CSG-QTDH19,16.813592,107.088038,QTDH19
CSG-QTDH21,16.811034,107.111175,QTDH21
CSG-QTDH22,16.815250,107.095810,QTDH22
CSG-QTDH27,16.807270,107.098890,QTDH27
CSG-QTDH29,16.823340,107.105480,QTDH29
CSG-QTDH30,16.809970,107.106220,QTDH30
CSG-QTDH31,16.828740,107.096270,QTDH31
CSG-QTDH32,16.804180,107.114170,QTDH32
CSG-QTDH34,16.783030,107.110450,QTDH34
CSG-QTDH35,16.800330,107.108530,QTDH35
CSG-QTDH36,16.818900,107.098150,QTDH36
CSG-QTDH50,16.791779,107.090522,QTDH50
CSG-QTGL01,16.942000,107.073080,QTGL01
CSG-QTGL03,16.916240,107.174230,QTGL03
CSG-QTGL04,16.895020,106.991860,QTGL04
CSG-QTGL05,16.887820,107.080680,QTGL05
CSG-QTGL07,16.874790,107.133790,QTGL07
CSG-QTGL08,16.922660,107.003920,QTGL08
CSG-QTGL10,16.926440,107.050210,QTGL10
CSG-QTGL12,16.977850,107.099660,QTGL12
CSG-QTGL13,16.909690,107.124240,QTGL13
CSG-QTGL15,16.966740,107.138040,QTGL15
CSG-QTGL25,16.892000,107.159290,QTGL25
CSG-QTGL44,16.966400,107.069180,QTGL44
CSG-QTHL03,16.708940,107.262230,QTHL03
CSG-QTHL05,16.733640,107.205560,QTHL05
CSG-QTHL06,16.664350,107.279570,QTHL06
CSG-QTHL10,16.726020,107.336580,QTHL10
CSG-QTHL12,16.740900,107.193520,QTHL12
CSG-QTHL14,16.704950,107.221440,QTHL14
CSG-QTHL17,16.742600,107.278400,QTHL17
CSG-QTHL19,16.753450,107.215600,QTHL19
CSG-QTHL20,16.798763,107.304650,QTHL20
CSG-QTHL22,16.776980,107.329860,QTHL22
CSG-QTHL24,16.721330,107.194330,QTHL24
CSG-QTHL25,16.688120,107.268910,QTHL25
CSG-QTHL28,16.698820,107.265660,QTHL28
CSG-QTQT03,16.747440,107.178370,QTQT03
CSG-QTQT05,16.742840,107.185300,QTQT05
CSG-QTQT06,16.756179,107.195775,QTQT06
CSG-QTQT09,16.735640,107.187190,QTQT09
CSG-QTQT09_02,16.735640,107.187190,QTQT09
CSG-QTTP02,16.810000,107.181610,QTTP02
CSG-QTTP05,16.770260,107.250030,QTTP05
CSG-QTTP08,16.881890,107.206500,QTTP08
CSG-QTTP10,16.787500,107.180530,QTTP10
CSG-QTTP15,16.847890,107.196010,QTTP15
CSG-QTTP17,16.829370,107.167920,QTTP17
CSG-QTTP19,16.828030,107.214890,QTTP19
CSG-QTTP21,16.772000,107.189180,QTTP21
CSG-QTTP24,16.863220,107.223620,QTTP24
CSG-QTTP27,16.828220,107.268460,QTTP27
CSG-QTTP47,16.819540,107.171560,QTTP47
CSG-QTTP48,16.794060,107.244800,QTTP48
CSG-QTVL01,17.077910,106.995580,QTVL01
CSG-QTVL48,17.043660,107.026070,QTVL48
CSG-VNPOST-Luong-An,16.815790,107.110820,QTIDHA1
CSG-HUHA01,16.525200,107.475880,HUHA01
CSG-HUHA01_2,16.525200,107.475880,HUHA01
CSG-HUHA04,16.501380,107.472430,HUHA04
CSG-HUHA08,16.504090,107.514330,HUHA08
CSG-HUHA09,16.486230,107.498470,HUHA09
CSG-HUHA21,16.499530,107.444530,HUHA21
CSG-HUHA35,16.488940,107.520130,HUHA35
CSG-HUHT04,16.418650,107.695900,HUHT04
CSG-HUHT12,16.442640,107.623550,HUHT12
CSG-HUHT15,16.423810,107.651400,HUHT15
CSG-HUHT17,16.404660,107.711980,HUHT17
CSG-HUHT19,16.445680,107.649680,HUHT19
CSG-HUHT24,16.386830,107.686806,HUHT24
CSG-HUHT27,16.411260,107.640410,HUHT27
CSG-HUHT32,16.439640,107.614000,HUHT32
CSG-HUHT35,16.374070,107.714500,HUHT35
CSG-HUHTMA01,16.411680,107.673330,HUHT01
CSG-HUHTMA01_2,16.411680,107.673330,HUHT01
CSG-HUHUMA01,16.481683,107.555912,HUHUMA01
CSG-HUHUMA01_2,16.481683,107.555912,HUHUMA01
CSG-HUPD06,16.548690,107.414880,HUPD06
CSG-HUPD19,16.596580,107.350560,HUPD19
CSG-HUPD22,16.553690,107.442430,HUPD22
CSG-HUPD49,16.652110,107.399660,HUPD49
CSG-HUPD53,16.662160,107.346570,HUPD53
CSG-HUPL02,16.314090,108.015150,HUPL02
CSG-HUPL03,16.272300,107.961690,HUPL03
CSG-HUPL06,16.355350,107.883850,HUPL06
CSG-HUPL10,16.317850,107.777900,HUPL10
CSG-HUPL14,16.312830,107.982180,HUPL14
CSG-HUPL18,16.296520,107.810270,HUPL18
CSG-HUPL23,16.387970,107.858080,HUPL23
CSG-HUPL25,16.290910,108.015140,HUPL25
CSG-HUPL35,16.361720,107.731300,HUPL35
CSG-HUPL40,16.321700,107.740100,HUPL40
CSG-HUPL41,16.360980,107.866090,HUPL41
CSG-HUPLMA01,16.3395144,107.7437559,HUPLMA01
CSG-HUPLMA02,16.269802,107.8984,HUPLMA02
CSG-HUPV05,16.544510,107.674910,HUPV05
CSG-HUPV08,16.495160,107.629160,HUPV08
CSG-HUPV09,16.481180,107.684460,HUPV09
CSG-HUPV10,16.445470,107.746540,HUPV10
