Name,Lat,Lon,Site ID,Type,Priority
KHDK06,12.2132684,109.0743424,,AGG,1
KHNH06,12.53568,109.02736,,AGG,1
KHNH54,12.48609,109.12663,,AGG,1
KHNT24,12.2522001,109.1937001,,AGG,1
KHNTMA01,12.18747,109.17025,,AGG,1
KHVN04,12.70534,109.23683,,AGG,1
KHVN23,12.64482,109.19394,,AGG,1
KHVN13,12.63042,109.18631,,AGG,1
PYDH09,13.034347,109.297636,,AGG,1
PYDH30,12.99888,109.36395,,AGG,1
PYDX01,13.37768,109.104,,AGG,1
PYPH04,13.03798,109.21539,,AGG,1
PYSA09,13.2048,109.0634,,AGG,1
PYSA10,13.06365,109.02528,,AGG,1
PYTH10,12.9638,109.0539,,AGG,1
VNPOST Hòa Đa,13.20203,109.27016,,AGG,1
PYTA14,13.306107,109.213861,,AGG,1
PYPY01,13.087012,109.307015,,AGG,1
PYPY16,13.142799,109.281176,,AGG,1
GLCR11,13.7364332,107.956106,,AGG,1
GLCP04,14.19663,107.96053,,AGG,1
GLCS33,13.6766076,108.0870641,,AGG,1
GLDC07,13.7762834,107.5964557,,AGG,1
GLDD01,13.9931398,108.1189152,,AGG,1
GLDP07,13.96895,108.48206,,AGG,1
GLIG09,13.97613,107.88251,,AGG,1
GLMY01,14.0416,108.25279,,AGG,1
GLPK65,13.975834,108.00695,,AGG,1
GLPK05,14.02933,107.98911,,AGG,1
KTDH01,14.49433,107.92508,,AGG,1
KTKT01,14.35386,108.00225,,AGG,1
KTKT19,14.3612597,108.0205681,,AGG,1
KTNH01,14.70526,107.68651,,AGG,1
KTST_newsite1,14.40548,107.79854,,AGG,1
DGDM29,12.454119,107.622837,,AGG,1
DGDL37,11.98872,107.50814,,AGG,1
DGDS05,12.20324,107.63731,,AGG,1
DGGN01,11.99045,107.67281,,AGG,1
DGGN03,12.003599,107.683923,,AGG,1
DGTD24,12.1938884,107.4622479,,AGG,1
DLBH15,12.912622,108.260605,,AGG,1
DLBTMA01,12.68287,108.0352,,AGG,1
DLBT09,12.6882169,108.0558705,,AGG,1
DLBHMA01,12.788935,108.217171,,AGG,1
DLCG07,12.781192,108.069675,,AGG,1
DLCG03,12.911,108.19305,,AGG,1
DLCK17,12.6381269,108.1201019,,AGG,1
DLCK11,12.562817,108.169683,,AGG,1
DLEK01,12.812267,108.446527,,AGG,1
DLKN27,12.9595,108.34714,,AGG,1
DLKN02,12.8819829,108.3861617,,AGG,1
DLKP01,12.715607,108.241525,,AGG,1
DLKP17,12.662,108.34816,,AGG,1
