BS_Name,BS_Lat,BS_Lon,Nearest_Router_Name,Nearest_Router_Lat,Nearest_Router_Lon,Router_Type,Router_Priority,Router_Site_ID,Route_Distance_KM,Status
Gia Lai#Phòng#Trại Giam Gia Trung,14.06473,108.3343,GLMY05,14.05378,108.29298,CSG,2,,5.4147,Success
Gia Lai#Phòng#K02 (D1/E20),13.93993,108.0063,GLPK72,13.9366678,108.0083274,CSG,2,,0.653,Success
Gia Lai#Phòng#PC11 A,13.92837,108.017,GLPK72,13.9366678,108.0083274,CSG,2,,2.4502,Success
Bình Định#Phòng#Cảng hàng không Phù Cát,13.95354,109.0481,BDAN26,13.94391,109.06499,CSG,2,,2.5614,Success
Bình Định#Phòng#Cơ sở cai nghiện ma tuý (PC04),13.74934,109.1478,BDQN63,13.748088,109.152633,CSG,2,,0.8153,Success
Phú Yên#Phòng#PC07,13.09501,109.2916,PYPY67,13.096668,109.292926,CSG,2,,0.7245,Success
Phú Yên#Phòng#PC11,13.09377,109.2912,PYPY58,13.08827,109.2951,CSG,2,,1.0571,Success
Phú Yên#Phòng#PC08,13.071469,109.275869,PYPH17,13.06666,109.29008,CSG,2,,2.0937,Success
Phú Yên#Phòng#PK02,13.14724,109.2846,PYPY16,13.142799,109.281176,AGG,1,,1.5158,Success
Phú Yên#Phòng#Cơ quan điều tra Tuy Hòa,13.0951,109.3202,PYPY20,13.09354,109.32055,CSG,2,,0.1803,Success
Phú Yên#Phòng#PA08,13.08809,109.3123,PYPY32,13.08665,109.31354,CSG,2,,0.299,Success
Phú Yên#Phòng#PA05,13.08964,109.3095,PYPY47,13.089928,109.309517,CSG,2,,0.0112,Success
Phú Yên#Phòng#PA06,13.1166,109.310536,PYPY40,13.120221,109.301418,CSG,2,,1.107,Success
Phú Yên#Phòng#PC06,13.0888,109.2993,PYPY10,13.08537,109.29911,CSG,2,,0.5715,Success
Phú Yên#Phòng#Cảng hàng không Tuy Hòa,13.049661,109.344792,PYPY35,13.06963,109.33532,CSG,2,,3.5081,Success
Phú Yên#Phòng#TTCMKV Đông Hòa,12.990696,109.33169,PYDH20,12.98856,109.33191,CSG,2,,0.4832,Success
Đăk Lăk#Phòng#PC07,12.71727,108.0723,DLBT84,12.7104,108.061,CSG,2,,1.912,Success
Đăk Lăk#Phòng#PC11,12.64173,108.0236,DLBT60,12.63974,108.0151,CSG,2,,1.6759,Success
Đăk Lăk#Phòng#PK02,12.7099,108.0676,DLBT84,12.7104,108.061,CSG,2,,1.0329,Success
