Name,Lat,Lon
Quảng Ngãi#TTCMKV#Đức Phổ,14.81137,108.9595
Kon Tum#TTCMKV#TT2 Kon Tum,14.353,108.0079
Kon Tum#TTCMKV#Đăk Hà,14.49126,107.9251
Kon Tum#TTCMKV#Ngọc Hồi,14.72453,107.6878
Kon Tum#TTCMKV#Sa Thầy,14.39803,107.7961
Kon Tum#TTCMKV#Kon Rẫy,14.47389,108.1771
Kon Tum#TTCMKV#CAX Đăk Kôi (Kon Rẫy),14.53716,108.1755
Kon Tum#TTCMKV#Tu Mơ Rông,14.81661,107.9456
Kon Tum#TTCMKV#Đăk Tô,14.65984,107.84
Quảng Ngãi#Phòng ban#PC07,15.12796,108.7873
Quảng Ngãi#Phòng ban#Sơn Tịnh,15.15466,108.7366
Quảng Ngãi#Phòng ban#PC01,15.121,108.7921
Quảng Ngãi#Phòng ban#CS113,15.1186,108.8064
Quảng Ngãi#Phòng ban#PK02,15.12264,108.8169
Quảng Ngãi#Phòng ban#Khối Cảnh sát,15.121,108.7921
Quảng Ngãi#Phòng ban#K02 (D3/E23),15.33689,108.8419
Quảng Ngãi#Phòng ban#PC08,15.10006,108.8068
Quảng Ngãi#Phòng ban#PA03,15.12074,108.7989
Quảng Ngãi#Phòng ban#PC03,15.12274,108.8181
Quảng Ngãi#Phòng ban#PC10,15.14859,108.7971
Quảng Ngãi#Phòng ban#PA06,15.12939,108.7892
"Quảng Ngãi#Phòng ban#PC11 (X. Nghĩa Kỳ, H. Tư Nghĩa)",15.11711,108.7462
"Quảng Ngãi#Phòng ban#Cơ sở cai nghiện (X. Nghĩa Kỳ, H. Tư Nghĩa)",15.11671,108.7474
Quảng Ngãi#Phòng ban#TTCMKV Tư Nghĩa,15.08352,108.8265
Kon Tum#Phòng ban#PC06,14.35389,108.0067
Kon Tum#Phòng ban#PA06,14.35611,108.003
Kon Tum#Phòng ban#PC07,14.36348,107.9988
"Kon Tum#Phòng ban#Khối CS (PC01, PC02, PC03, PC04)",14.38014,107.9868
Kon Tum#Phòng ban#PC08,14.36945,108.0085
Kon Tum#Phòng ban#PC11,14.48789,107.9599
Kon Tum#Phòng ban#PK02/PX03,14.37695,108.0199
Kon Tum#Phòng ban#PA05/PC10/PX05/PX06,14.34967,108.0075
Kon Tum#Phòng ban#PC09,14.37054,108.0073
Kon Tum#Phòng ban#PH10,14.35304,108.0101
