BS_Name,BS_Lat,BS_Lon,Nearest_Router_Name,Nearest_Router_Lat,Nearest_Router_Lon,Route_Distance_KM,Status
2628-BD103,13.964357,108.777547,N/A,N/A,N/A,N/A,No router in radius
2628-BD104,13.963032,108.766851,N/A,N/A,N/A,N/A,No router in radius
2628-BD105,13.97939364,109.0087132,N/A,N/A,N/A,N/A,No router in radius
2628-BD106,13.630915,108.994646,N/A,N/A,N/A,N/A,No router in radius
2628-BD107,13.649331,109.00865,N/A,N/A,N/A,N/A,No router in radius
2628-BD108,13.6629,109.0309,N/A,N/A,N/A,N/A,No router in radius
2628-BD109,13.674161,109.049187,N/A,N/A,N/A,N/A,No router in radius
2628-BD110,13.701017,109.047809,N/A,N/A,N/A,N/A,No router in radius
2628-BD111,13.753781,109.104984,N/A,N/A,N/A,N/A,No router in radius
2628-BD112,14.388676,108.977537,CSG-BDHA15,14.37886,108.96823,1.8922,Success
2628-BD113,13.774118,109.2237,CSG-BDQN62,13.7771,109.2254,0.7838999999999999,Success
2628-BD114,13.887397,109.291439,N/A,N/A,N/A,N/A,No router in radius
2628-BD115,13.833931,109.062303,N/A,N/A,N/A,N/A,No router in radius
2628-BD116,14.43671338,108.9888574,N/A,N/A,N/A,N/A,No router in radius
2628-BD118,13.764469,109.189385,CSG-BDQN80,13.76949,109.19146,2.5978000000000003,Success
2628-BD119,13.893358,109.112969,CSG-BDAN18,13.8974,109.10811,1.0092,Success
2628-BD120,13.908354,109.112572,CSG-BDAN18,13.8974,109.10811,1.7819,Success
2628-BD121,13.94318,108.93349,N/A,N/A,N/A,N/A,No router in radius
2628-BD122,13.821959,109.213601,N/A,N/A,N/A,N/A,No router in radius
2628-BD123,13.760501,109.200104,CSG-BDQN33,13.762723,109.209894,1.6551,Success
2628-BD124,13.769435,109.198732,CSG-BDQN80,13.76949,109.19146,1.4912,Success
2628-BD125,13.741078,109.066677,N/A,N/A,N/A,N/A,No router in radius
2628-BD126,13.80761035,109.2188002,CSG-BDQN21,13.79013,109.21804,3.0788,Success
2628-BD127,13.80941142,109.2154944,N/A,N/A,N/A,N/A,No router in radius
2628-BD128,13.79701056,109.2149601,CSG-BDQN21,13.79013,109.21804,1.178,Success
2628-BD129,13.80188341,109.2119694,CSG-BDQN21,13.79013,109.21804,2.7681,Success
2628-BD130,13.87074999,109.2507428,N/A,N/A,N/A,N/A,No router in radius
2628-BD131,13.76489572,109.1964006,CSG-BDQN80,13.76949,109.19146,2.155,Success
2628-BD132,13.804055,109.193301,CSG-BDQN16,13.78948,109.19601,2.2311,Success
2628-BD133,14.2615467,108.8690481,N/A,N/A,N/A,N/A,No router in radius
2628-BD143,14.229038,108.868228,N/A,N/A,N/A,N/A,No router in radius
2628-BD144,14.533932,108.728232,N/A,N/A,N/A,N/A,No router in radius
2628-BD145,14.606449,108.785793,N/A,N/A,N/A,N/A,No router in radius
2628-BD146,14.112508,109.183041,N/A,N/A,N/A,N/A,No router in radius
2628-BD147,14.0355639,108.9999382,CSG-BDPC13,14.04194,109.01485,2.1085,Success
2628-BD148,14.531826,109.056299,CSG-BDHN36,14.54229,109.06412,1.7598,Success
2628-BD149,13.612079,109.352101,N/A,N/A,N/A,N/A,No router in radius
2628-BD150,14.27266,109.16425,N/A,N/A,N/A,N/A,No router in radius
2628-BD151,14.356127,108.687426,N/A,N/A,N/A,N/A,No router in radius
2628-BD152,13.972937,109.105496,CSG-BDPC33,13.96764,109.11652,1.4054,Success
2628-DG001,12.5125,107.750517,CSG-DGDM07,12.521022,107.758327,1.3638,Success
2628-DG002,12.10114,107.7966,N/A,N/A,N/A,N/A,No router in radius
2628-DG003,11.993246,107.697552,CSG-DGGN02,11.998121,107.703326,1.5345,Success
2628-DG004,12.408465,107.577897,CSG-DGDM34,12.419883,107.582995,1.8702999999999999,Success
2628-DG005,12.19199,107.9027,N/A,N/A,N/A,N/A,No router in radius
2628-DG006,11.9975,107.672,CSG-DGGN01,11.99045,107.67281,1.8151,Success
2628-DG007,12.0007,107.697,CSG-DGGN02,11.998121,107.703326,0.8246,Success
2628-DG008,12.3126,107.939,N/A,N/A,N/A,N/A,No router in radius
2628-DG009,11.80438,107.54865,N/A,N/A,N/A,N/A,No router in radius
2628-DG010,12.047475,107.66629,CSG-DGGN05,12.054203,107.680233,3.6275999999999997,Success
2628-DG011,12.252476,107.627196,N/A,N/A,N/A,N/A,No router in radius
2628-DG012,12.06845,107.67679,CSG-DGGN05,12.054203,107.680233,1.6823,Success
2628-DG013,12.026048,107.583298,N/A,N/A,N/A,N/A,No router in radius
2628-DG014,12.291714,107.471442,N/A,N/A,N/A,N/A,No router in radius
2628-DG015,11.956027,107.753071,N/A,N/A,N/A,N/A,No router in radius
2628-DG016,12.482329,107.830285,N/A,N/A,N/A,N/A,No router in radius
2628-DG017,12.260762,107.320721,N/A,N/A,N/A,N/A,No router in radius
2628-DG018,12.013589,107.689539,CSG-DGGN03,12.003599,107.683923,1.6222,Success
2628-DG019,12.442901,107.624235,CSG-DGDM35,12.44234,107.63013,0.676,Success
2628-DG020,11.89773,107.808722,CSG-DGDG04,11.909468,107.801807,1.8796,Success
2628-DG021,12.006937,107.72104,N/A,N/A,N/A,N/A,No router in radius
2628-DG022,11.875513,107.891107,N/A,N/A,N/A,N/A,No router in radius
2628-DG023,11.965677,107.855323,N/A,N/A,N/A,N/A,No router in radius
2628-DG024,11.99908,107.69448,CSG-DGGN25,11.99761,107.69206,0.6897000000000001,Success
2628-DG025,12.288434,107.977136,N/A,N/A,N/A,N/A,No router in radius
2628-DG026,12.267702,108.013839,N/A,N/A,N/A,N/A,No router in radius
2628-DG027,12.237648,108.057077,N/A,N/A,N/A,N/A,No router in radius
2628-DG028,12.21801,108.083658,N/A,N/A,N/A,N/A,No router in radius
2628-DG029,12.155453,108.048301,N/A,N/A,N/A,N/A,No router in radius
2628-DG030,12.125847,107.990206,N/A,N/A,N/A,N/A,No router in radius
2628-DG031,12.347939,107.929137,N/A,N/A,N/A,N/A,No router in radius
2628-DG032,12.330073,107.909452,N/A,N/A,N/A,N/A,No router in radius
2628-DG033,12.66181,107.891987,N/A,N/A,N/A,N/A,No router in radius
2628-DG034,12.371809,107.570366,CSG-DGDM15,12.356058,107.569135,2.2235,Success
2628-DG035,12.318958,107.524911,N/A,N/A,N/A,N/A,No router in radius
2628-DG036,12.213398,107.62176,N/A,N/A,N/A,N/A,No router in radius
2628-DG037,12.240063,107.660623,N/A,N/A,N/A,N/A,No router in radius
2628-DG038,12.127559,107.826699,N/A,N/A,N/A,N/A,No router in radius
2628-DG039,12.077302,107.788181,N/A,N/A,N/A,N/A,No router in radius
2628-DG040,12.111581,107.759919,N/A,N/A,N/A,N/A,No router in radius
