Tuyến cáp,lat1,lon1,lat2,lon2,Desc
Phú Yên#CAX#Tuy An Bắc-VNPOST Hòa Đa,13.308276,109.215649,13.20203,109.27016,VNPOST Hòa Đa-PYTA14
Phú Yên#CAX#Tuy An Bắc-Phú Yên#TTCMKV#Đồng Xuân,13.308276,109.215649,13.3773,109.1081,PYTA14-PYDX01
Phú Yên#CAX#Tuy An Bắc-Phú Yên#CAX#Tuy An Đông,13.308276,109.215649,13.340476,109.254179,PYTA05-PYTA14
Phú Yên#CAX#Tuy An Bắc-PYTA01,13.308276,109.215649,13.295067,109.233463,PYTA01-PYTA14
Phú Yên#CAX#Tuy An Bắc-PYTA06,13.308276,109.215649,13.31995,109.21291,PYTA06-PYTA14
Phú Yên#CAX#Tuy An Bắc-PYDX08,13.308276,109.215649,13.33919171,109.1711022,PYTA14-PYDX08
Phú Yên#CAX#Tuy An Bắc-PYTA09,13.308276,109.215649,13.31682,109.18458,PYTA14-PYTA09
Phú Yên#CAX#Tuy An Bắc-PYTA16,13.308276,109.215649,13.294215,109.14735,PYTA14-PYTA16
Phú Yên#TTCMKV#TT2 Tuy Hòa-Phú Yên#CAX#Sơn Thành,13.09474,109.293,12.984385,109.095316,PYTH01-PYPY01
Phú Yên#TTCMKV#TT2 Tuy Hòa-Phú Yên#TTCMKV#Phú Hòa,13.09474,109.293,13.0231,109.207,PYPH04-PYPY01
Phú Yên#TTCMKV#TT2 Tuy Hòa-PYSA09,13.09474,109.293,13.2048,109.0634,PYSA09-PYPY01
Phú Yên#TTCMKV#TT2 Tuy Hòa-PYPY35,13.09474,109.293,13.066879,109.335538,PYPY35-PYPY01
Phú Yên#TTCMKV#TT2 Tuy Hòa-PYPH13,13.09474,109.293,13.08552,109.27605,PYPH13-PYPY01
Phú Yên#TTCMKV#TT2 Tuy Hòa-PYPY05,13.09474,109.293,13.07887,109.29451,PYPY05-PYPY01
Phú Yên#TTCMKV#TT2 Tuy Hòa-PYPH19,13.09474,109.293,13.05061,109.27054,PYPH19-PYPY01
Phú Yên#TTCMKV#TT2 Tuy Hòa-Phú Yên#Phòng#PC08,13.09474,109.293,13.071469,109.275869,PYPH17-PYPY01
Phú Yên#Phòng#PK02-PYDH09,13.14724,109.2846,13.034347,109.297636,PYPY16-PYDH09
Phú Yên#Phòng#PK02-VNPOST Hòa Đa,13.14724,109.2846,13.20203,109.27016,PYPY16-VNPOST Hòa Đa
Phú Yên#Phòng#PK02-VNPOST Hòa Đa,13.14724,109.2846,13.20203,109.27016,PYPY16-VNPOST Hòa Đa
Phú Yên#Phòng#PK02-PYPY38,13.14724,109.2846,13.163281,109.29197,PYPY16-PYPY38
Phú Yên#Phòng#PK02-PYPY14,13.14724,109.2846,13.165977,109.27933,PYPY16-PYPY14
Gia Lai#CAX#Ia Tôr-Gia Lai#TTCMKV#Chư Sê,13.737223,107.953534,13.69211,108.0804,GLCS33-GLCR11
Gia Lai#CAX#Ia Tôr-Gia Lai#CAX#Ia Dom,13.737223,107.953534,13.77478,107.6078,GLCR11-GLDC07
Gia Lai#CAX#Ia Tôr-GLCR10,13.737223,107.953534,13.63252,107.92644,GLCR10-GLCR11
