Tuyến cáp                    , lat1       , lon1       , lat2       , lon2       , Desc,
GLDP09-GLAK03                ,13.963024,108.6333436,13.99493,108.65478," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLDP09-GLAK03 - CSG # 6","1 km"""
GLAK03-GLAK04                ,13.99493,108.65478,14.09185,108.66287," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLAK03-GLAK04 - CSG # 20","99 km"""
GLAK04-GLMY01                ,14.09185,108.66287,14.0416,108.25279," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLAK04-GLMY01 - CSG # 73","52 km"""
QADX35-QAHA08                ,15.83046,108.37688,15.88778,108.37968," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QADX35-QAHA08 - CSG # 11","49 km"""
QAHA08-QAHA02                ,15.88778,108.37968,15.90245084,108.3546292," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAHA08-QAHA02 - CSG # 3","69 km"""
QAHA02-QADB03                ,15.90245084,108.3546292,15.93025,108.30269," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAHA02-QADB03 - CSG # 7","44 km"""
QADB03-QADB12                ,15.93025,108.30269,15.90544,108.27245," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QADB03-QADB12 - CSG # 6","84 km"""
QADB12-QADB11                ,15.90544,108.27245,15.92736,108.26009," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QADB12-QADB11 - CSG # 3","94 km"""
QADB11-QADB02                ,15.92736,108.26009,15.95509,108.2549," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QADB11-QADB02 - CSG # 3","37 km"""
QADB02-QADB16                ,15.95509,108.2549,15.93443,108.23181," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QADB02-QADB16 - CSG # 4","9 km"""
QADB16-QADB46                ,15.93443,108.23181,15.89361,108.24381," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QADB16-QADB46 - CSG # 6","33 km"""
QAHA02-QAHA18                ,15.90245084,108.3546292,15.8707757,108.3668772," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAHA02-QAHA18 - CSG # 5","62 km"""
QAHA18-QAHA04                ,15.8707757,108.3668772,15.8812723,108.3430994," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAHA18-QAHA04 - CSG # 3","85 km"""
QAHA04-QAHA03                ,15.8812723,108.3430994,15.87225,108.33853," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAHA04-QAHA03 - CSG # 3","05 km"""
QAHA03-QAHA06                ,15.87225,108.33853,15.89214,108.32104," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAHA03-QAHA06 - CSG # 3","75 km"""
QAHA02-QAHA20                ,15.90245084,108.3546292,15.90278,108.32638," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAHA02-QAHA20 - CSG # 4","55 km"""
QAHA20-QAHA32                ,15.90278,108.32638,15.90198,108.31081," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAHA20-QAHA32 - CSG # 2","23 km"""
QAHA32-QAHA06                ,15.90198,108.31081,15.89214,108.32104," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAHA32-QAHA06 - CSG # 1","99 km"""
