Name,lat1,lon1,lat2,lon2,Desc
Buôn Hồ-TT1 Đăk Lăk,12.916187,108.26651,12.6843,108.0528,FO DT#MBF#DLBH15-DLBT09
Ea Kar-DLKN02,12.81206,108.4837,12.8819829,108.3861617,FO DT#MBF#DLEK01-DLKN02
DLKP01-Ea Kar,12.715607,108.241525,12.81206,108.4837,FO DT#MBF#DLKP01-DLEK01
TT1 Đăk Lăk-DLKP01,12.6843,108.0528,12.715607,108.241525,FO DT#MBF#DLBT09-DLKP01
DLCK17-Cư Kuin,12.6381269,108.1201019,12.55998,108.1639,FO DT#MBF#DLCK17-DLCK11
"Cư Kuin-Cơ sở cai nghiện (X. Tân Tiến, H. Kron Pắc)",12.55998,108.1639,12.65602,108.3431,FO DT#MBF#DLCK11-DLKP17
"Cơ sở cai nghiện (X. Tân Tiến, H. Kron Pắc)-DLKP01",12.65602,108.3431,12.715607,108.241525,FO DT#MBF#DLKP17-DLKP01
TT1 Đăk Lăk-DLKP01,12.6843,108.0528,12.715607,108.241525,FO DT#MBF#DLBT09-DLKP01
DLEK27-Ea Knốp,12.814122,108.518682,12.80333,108.5412,FO DT#MBF#DLEK27-DLEK03
Ea Knốp-DLEK29,12.80333,108.5412,12.8125985,108.4600826,FO DT#MBF#DLEK03-DLEK29
Ea Kar-DLEK29,12.81206,108.4837,12.8125985,108.4600826,FO DT#MBF#DLEK01-DLEK29
Ea Kar-DLEK10,12.81206,108.4837,12.84153,108.43094,FO DT#MBF#DLEK01-DLEK10
Ea Kly-Ea Kar,12.76228,108.4145,12.81206,108.4837,FO DT#MBF#DLKP05-DLEK01
Ea Phê-Ea Kly,12.72793,108.3632,12.76228,108.4145,FO DT#MBF#DLKP37-DLKP05
DLKP01-Ea Phê,12.715607,108.241525,12.72793,108.3632,FO DT#MBF#DLKP01-DLKP37
Ea Kar-DLKP07,12.81206,108.4837,12.71014,108.43604,FO DT#MBF#DLEK01-DLKP07
